region;estado geografico;capital estado geografico;municipio;parroquia;estado operativo;distrito;area;central;nombre central;id_averia;tipo_reporte;dac;telefono;fecha_reporte;persona_reporta;contacto;fecha_compromiso;fecha_cita;ultimo_usuario;ultimo_comentario;results;asignado_a;cuadrilla;fecha_despacho;ciudad;estatus;problema_reporte;servicio_off_on;cliente_notificado;informacion;informacion;nombre;direccion;fecha_instalacion;olt;ip;tarjeta;plan;slot;puerto;ont_id;fat;serial;cvlan;extra;area_trabajo;dias transcurrido desde la apertura;area_resolutoria;tipo_servicio;tipo_problema;descripcion;usuario_acciona;fecha_acciona;dias transcurrido en area resolutoria;codigo_causa;descripcion;Subcodigo_causa;descripcion;con_serv_aba;unidad_negocio;ups;codigos_gestionados_en_VENAPP;codigos_sin_gestion_en_VENAPP;Reparador Principal;Ayudante 1;Ayudante 2;Ayudante 3;Ayudante 4;Ayudante 5;Ayudante 6;Ayudante 7;Ayudante 8;Ayudante 9;Flota (CAN);Nombre;Apellido;Telefono Oficina;Telefono Movil;Fecha Hora Asignacion
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001028;DATO12-0028;999;7000000128;07/09/2026 10:44:20 a.m.;ABONADO0028;4000000128;10/09/2026 10:44:21 a.m.;;OPERADOR0028;SIN NOVEDAD FICTICIA;;;;09/09/2026 03:56:18 p.m.;;PEND;;DATO29-0028;9;;;ABONADO0028;CALLE FICTICIA 0028 RESIDENCIA DEMO;;DATO36-0028;DATO37-0028;DATO38-0028;DATO39-0028;99;9;9;DATO43-0028;DATO44-0028;999;DATO46-0028;DATO47-0028;9;DATO49-0028;DATO50-0028;DATO51-0028;DATO52-0028;OPERADOR0028;09/09/2026 04:00:42 p.m.;9;;;;;DATO60-0028;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001029;DATO12-0029;999;7000000129;07/09/2026 01:05:02 p.m.;ABONADO0029;4000000129;10/09/2026 01:05:02 p.m.;;OPERADOR0029;SIN NOVEDAD FICTICIA;;;;07/09/2026 01:11:33 p.m.;DATO26-0029;PEND;SIN NOVEDAD FICTICIA;DATO29-0029;9;;;;;;DATO36-0029;DATO37-0029;DATO38-0029;DATO39-0029;9;99;99;DATO43-0029;DATO44-0029;9999;DATO46-0029;DATO47-0029;9;DATO49-0029;DATO50-0029;DATO51-0029;DATO52-0029;OPERADOR0029;07/09/2026 01:22:10 p.m.;9;;;;;;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001030;DATO12-0030;999;7000000130;08/09/2026 09:24:58 a.m.;ABONADO0030;4000000130;11/09/2026 09:24:58 a.m.;08/09/2026 10:00:00 a.m.;OPERADOR0030;SIN NOVEDAD FICTICIA;;;;08/09/2026 09:50:25 a.m.;DATO26-0030;PEND;SIN NOVEDAD FICTICIA;DATO29-0030;9;SIN NOVEDAD FICTICIA;;ABONADO0030;CALLE FICTICIA 0030 RESIDENCIA DEMO;;DATO36-0030;DATO37-0030;DATO38-0030;DATO39-0030;9;99;99;DATO43-0030;DATO44-0030;9999;DATO46-0030;DATO47-0030;9;DATO49-0030;DATO50-0030;DATO51-0030;DATO52-0030;OPERADOR0030;09/09/2026 10:44:38 a.m.;9;;;;;DATO60-0030;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001031;DATO12-0031;999;7000000131;08/09/2026 09:51:11 a.m.;ABONADO0031;4000000131;11/09/2026 09:51:11 a.m.;;OPERADOR0031;REPORTE FICTICIO: LOS ROJO;;;;08/09/2026 10:04:56 a.m.;DATO26-0031;PEND;SIN NOVEDAD FICTICIA;DATO29-0031;9;;;ABONADO0031;CALLE FICTICIA 0031 RESIDENCIA DEMO;;DATO36-0031;DATO37-0031;DATO38-0031;DATO39-0031;9;99;99;DATO43-0031;DATO44-0031;9999;DATO46-0031;DATO47-0031;9;DATO49-0031;DATO50-0031;DATO51-0031;;OPERADOR0031;08/09/2026 10:31:51 a.m.;9;;;;;DATO60-0031;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001032;DATO12-0032;999;7000000132;08/09/2026 01:57:43 p.m.;ABONADO0032;4000000132;11/09/2026 01:57:43 p.m.;09/09/2026 10:00:00 a.m.;OPERADOR0032;SIN NOVEDAD FICTICIA;;;;08/09/2026 02:30:51 p.m.;DATO26-0032;PEND;SIN NOVEDAD FICTICIA;DATO29-0032;9;;;ABONADO0032;CALLE FICTICIA 0032 RESIDENCIA DEMO;31/08/2026;DATO36-0032;DATO37-0032;DATO38-0032;DATO39-0032;9;99;99;DATO43-0032;DATO44-0032;9999;DATO46-0032;DATO47-0032;9;DATO49-0032;DATO50-0032;DATO51-0032;;OPERADOR0032;08/09/2026 02:38:29 p.m.;9;;;;;DATO60-0032;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001033;DATO12-0033;999;7000000133;08/09/2026 02:54:42 p.m.;ABONADO0033;4000000133;11/09/2026 02:54:42 p.m.;;OPERADOR0033;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;08/09/2026 03:23:33 p.m.;DATO26-0033;PEND;SIN NOVEDAD FICTICIA;DATO29-0033;9;SIN NOVEDAD FICTICIA;;ABONADO0033;CALLE FICTICIA 0033 RESIDENCIA DEMO;;DATO36-0033;DATO37-0033;DATO38-0033;DATO39-0033;99;9;99;DATO43-0033;DATO44-0033;999;DATO46-0033;DATO47-0033;9;DATO49-0033;DATO50-0033;DATO51-0033;DATO52-0033;OPERADOR0033;08/09/2026 03:47:33 p.m.;9;;;;;DATO60-0033;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001034;DATO12-0034;999;7000000134;08/09/2026 06:31:26 p.m.;ABONADO0034;4000000134;11/09/2026 06:31:27 p.m.;;OPERADOR0034;SIN NOVEDAD FICTICIA;;;;10/09/2026 11:37:38 a.m.;;PEND;;DATO29-0034;9;;;ABONADO0034;CALLE FICTICIA 0034 RESIDENCIA DEMO;;DATO36-0034;DATO37-0034;DATO38-0034;DATO39-0034;9;9;99;DATO43-0034;DATO44-0034;999;DATO46-0034;DATO47-0034;9;DATO49-0034;DATO50-0034;DATO51-0034;DATO52-0034;OPERADOR0034;10/09/2026 11:44:02 a.m.;9;;;;;DATO60-0034;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001035;DATO12-0035;999;7000000135;08/09/2026 08:17:14 p.m.;ABONADO0035;4000000135;11/09/2026 08:17:14 p.m.;;OPERADOR0035;SIN NOVEDAD FICTICIA;;;;09/09/2026 08:10:02 a.m.;DATO26-0035;PEND;SIN NOVEDAD FICTICIA;DATO29-0035;9;SIN NOVEDAD FICTICIA;;ABONADO0035;CALLE FICTICIA 0035 RESIDENCIA DEMO;08/08/2026;DATO36-0035;DATO37-0035;DATO38-0035;DATO39-0035;9;9;99;DATO43-0035;DATO44-0035;999;DATO46-0035;DATO47-0035;9;DATO49-0035;DATO50-0035;DATO51-0035;DATO52-0035;OPERADOR0035;09/09/2026 11:06:02 a.m.;9;;;;;DATO60-0035;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001036;DATO12-0036;999;7000000136;09/09/2026 10:36:45 a.m.;ABONADO0036;4000000136;12/09/2026 10:36:45 a.m.;;OPERADOR0036;SIN NOVEDAD FICTICIA;;;;09/09/2026 11:28:19 a.m.;DATO26-0036;PEND;SIN NOVEDAD FICTICIA;DATO29-0036;9;;;ABONADO0036;CALLE FICTICIA 0036 RESIDENCIA DEMO;12/08/2026;DATO36-0036;DATO37-0036;DATO38-0036;DATO39-0036;9;9;9;DATO43-0036;DATO44-0036;999;DATO46-0036;DATO47-0036;9;DATO49-0036;DATO50-0036;DATO51-0036;DATO52-0036;OPERADOR0036;09/09/2026 11:55:57 a.m.;9;;;;;DATO60-0036;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001037;DATO12-0037;999;7000000137;09/09/2026 11:33:33 a.m.;ABONADO0037;4000000137;12/09/2026 11:33:33 a.m.;;OPERADOR0037;SIN NOVEDAD FICTICIA;;;;11/09/2026 01:58:38 p.m.;DATO26-0037;PEND;SIN NOVEDAD FICTICIA;DATO29-0037;9;;;ABONADO0037;CALLE FICTICIA 0037 RESIDENCIA DEMO;;DATO36-0037;DATO37-0037;DATO38-0037;DATO39-0037;99;9;99;DATO43-0037;DATO44-0037;999;DATO46-0037;DATO47-0037;9;DATO49-0037;DATO50-0037;DATO51-0037;DATO52-0037;OPERADOR0037;11/09/2026 05:16:32 p.m.;9;;;;;DATO60-0037;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001038;DATO12-0038;999;7000000138;09/09/2026 12:56:02 p.m.;ABONADO0038;4000000138;12/09/2026 12:56:03 p.m.;;OPERADOR0038;SIN NOVEDAD FICTICIA;;;;10/09/2026 09:59:45 a.m.;;PEND;;DATO29-0038;9;;;ABONADO0038;CALLE FICTICIA 0038 RESIDENCIA DEMO;;DATO36-0038;DATO37-0038;DATO38-0038;DATO39-0038;9;9;99;DATO43-0038;DATO44-0038;999;DATO46-0038;DATO47-0038;9;DATO49-0038;DATO50-0038;DATO51-0038;DATO52-0038;OPERADOR0038;10/09/2026 11:08:38 a.m.;9;;;;;DATO60-0038;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001039;DATO12-0039;999;7000000139;09/09/2026 01:12:16 p.m.;ABONADO0039;4000000139;12/09/2026 01:12:16 p.m.;10/09/2026 10:00:00 a.m.;OPERADOR0039;SIN NOVEDAD FICTICIA;;;;10/09/2026 09:59:45 a.m.;DATO26-0039;PEND;SIN NOVEDAD FICTICIA;DATO29-0039;9;;;ABONADO0039;CALLE FICTICIA 0039 RESIDENCIA DEMO;;DATO36-0039;DATO37-0039;DATO38-0039;DATO39-0039;9;99;99;DATO43-0039;DATO44-0039;9999;DATO46-0039;DATO47-0039;9;DATO49-0039;DATO50-0039;DATO51-0039;DATO52-0039;OPERADOR0039;10/09/2026 01:59:35 p.m.;9;;;;;DATO60-0039;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10202;AREA 5;2319X;LAS MERCEDES CPA    ;90001040;DATO12-0040;999;7000000140;09/09/2026 01:40:05 p.m.;ABONADO0040;4000000140;12/09/2026 01:40:05 p.m.;;OPERADOR0040;REPORTE FICTICIO: LOS ROJO;;;;09/09/2026 02:42:44 p.m.;DATO26-0040;PEND;;DATO29-0040;9;SIN NOVEDAD FICTICIA;;ABONADO0040;CALLE FICTICIA 0040 RESIDENCIA DEMO;;DATO36-0040;DATO37-0040;DATO38-0040;DATO39-0040;9;9;99;DATO43-0040;DATO44-0040;999;DATO46-0040;DATO47-0040;9;DATO49-0040;DATO50-0040;DATO51-0040;DATO52-0040;OPERADOR0040;09/09/2026 02:44:05 p.m.;9;;;;;DATO60-0040;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001041;DATO12-0041;999;7000000141;09/09/2026 02:09:52 p.m.;ABONADO0041;4000000141;12/09/2026 02:09:52 p.m.;;OPERADOR0041;SIN NOVEDAD FICTICIA;;;;10/09/2026 09:59:45 a.m.;DATO26-0041;PEND;SIN NOVEDAD FICTICIA;DATO29-0041;9;SIN NOVEDAD FICTICIA;;ABONADO0041;CALLE FICTICIA 0041 RESIDENCIA DEMO;;DATO36-0041;DATO37-0041;DATO38-0041;DATO39-0041;9;9;99;DATO43-0041;DATO44-0041;999;DATO46-0041;DATO47-0041;9;DATO49-0041;DATO50-0041;DATO51-0041;DATO52-0041;OPERADOR0041;10/09/2026 02:02:31 p.m.;9;;;;;DATO60-0041;CANTV RESIDENCIAL;RES;;DATO64-0041;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001042;DATO12-0042;999;7000000142;09/09/2026 04:30:18 p.m.;ABONADO0042;4000000142;12/09/2026 04:30:19 p.m.;;OPERADOR0042;SIN NOVEDAD FICTICIA;;;;09/09/2026 07:16:47 p.m.;;PEND;;DATO29-0042;9;;;ABONADO0042;CALLE FICTICIA 0042 RESIDENCIA DEMO;;DATO36-0042;DATO37-0042;DATO38-0042;DATO39-0042;9;99;9;DATO43-0042;DATO44-0042;9999;DATO46-0042;DATO47-0042;9;DATO49-0042;DATO50-0042;DATO51-0042;DATO52-0042;OPERADOR0042;09/09/2026 07:56:50 p.m.;9;;;;;DATO60-0042;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10202;AREA 5;2319X;LAS MERCEDES CPA    ;90001043;DATO12-0043;999;7000000143;10/09/2026 09:56:22 a.m.;ABONADO0043;4000000143;13/09/2026 09:56:22 a.m.;;OPERADOR0043;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;10/09/2026 10:53:22 a.m.;DATO26-0043;PEND;SIN NOVEDAD FICTICIA;DATO29-0043;9;;;ABONADO0043;CALLE FICTICIA 0043 RESIDENCIA DEMO;;DATO36-0043;DATO37-0043;DATO38-0043;DATO39-0043;99;9;99;DATO43-0043;DATO44-0043;999;DATO46-0043;DATO47-0043;9;DATO49-0043;DATO50-0043;DATO51-0043;DATO52-0043;OPERADOR0043;10/09/2026 11:44:10 a.m.;9;;;;;DATO60-0043;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001044;DATO12-0044;999;7000000144;10/09/2026 11:57:17 a.m.;ABONADO0044;4000000144;13/09/2026 11:57:17 a.m.;;OPERADOR0044;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;10/09/2026 01:30:45 p.m.;DATO26-0044;PEND;;DATO29-0044;9;;;ABONADO0044;CALLE FICTICIA 0044 RESIDENCIA DEMO;09/09/2026;DATO36-0044;DATO37-0044;DATO38-0044;DATO39-0044;9;9;;DATO43-0044;DATO44-0044;;DATO46-0044;DATO47-0044;9;DATO49-0044;DATO50-0044;DATO51-0044;DATO52-0044;OPERADOR0044;10/09/2026 01:35:41 p.m.;9;;;;;DATO60-0044;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001045;DATO12-0045;999;7000000145;10/09/2026 05:14:28 p.m.;ABONADO0045;4000000145;13/09/2026 05:14:29 p.m.;;OPERADOR0045;REPORTE FICTICIO: LOS ROJO;;;;11/09/2026 07:33:51 a.m.;;PEND;;DATO29-0045;9;;;ABONADO0045;CALLE FICTICIA 0045 RESIDENCIA DEMO;;DATO36-0045;DATO37-0045;DATO38-0045;DATO39-0045;99;99;99;DATO43-0045;DATO44-0045;9999;DATO46-0045;DATO47-0045;9;DATO49-0045;DATO50-0045;DATO51-0045;DATO52-0045;OPERADOR0045;11/09/2026 07:34:34 a.m.;9;;;;;DATO60-0045;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001046;DATO12-0046;999;7000000146;10/09/2026 05:19:47 p.m.;ABONADO0046;4000000146;13/09/2026 05:19:48 p.m.;;OPERADOR0046;REPORTE FICTICIO: LOS ROJO;;;;11/09/2026 07:35:26 a.m.;;PEND;;DATO29-0046;9;;;ABONADO0046;CALLE FICTICIA 0046 RESIDENCIA DEMO;;DATO36-0046;DATO37-0046;DATO38-0046;DATO39-0046;99;9;99;DATO43-0046;DATO44-0046;999;DATO46-0046;DATO47-0046;9;DATO49-0046;DATO50-0046;DATO51-0046;DATO52-0046;OPERADOR0046;11/09/2026 07:36:05 a.m.;9;;;;;DATO60-0046;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;EL HATILLO;EL HATILLO;MIRANDA-2;10204;AREA 3;2318X;EL HATILLO          ;90001047;DATO12-0047;999;7000000147;10/09/2026 09:23:06 p.m.;ABONADO0047;4000000147;13/09/2026 09:23:06 p.m.;;OPERADOR0047;SIN NOVEDAD FICTICIA;;;;11/09/2026 09:32:27 a.m.;;PEND;;DATO29-0047;9;;;ABONADO0047;CALLE FICTICIA 0047 RESIDENCIA DEMO;;DATO36-0047;DATO37-0047;DATO38-0047;DATO39-0047;9;9;99;DATO43-0047;DATO44-0047;9999;DATO46-0047;DATO47-0047;9;DATO49-0047;DATO50-0047;DATO51-0047;DATO52-0047;OPERADOR0047;11/09/2026 12:25:06 p.m.;9;;;;;DATO60-0047;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001048;DATO12-0048;999;7000000148;11/09/2026 09:21:38 a.m.;ABONADO0048;4000000148;14/09/2026 09:21:38 a.m.;;OPERADOR0048;SIN NOVEDAD FICTICIA;;;;11/09/2026 09:32:27 a.m.;DATO26-0048;PEND;SIN NOVEDAD FICTICIA;DATO29-0048;9;;;ABONADO0048;CALLE FICTICIA 0048 RESIDENCIA DEMO;;DATO36-0048;DATO37-0048;DATO38-0048;DATO39-0048;99;99;99;DATO43-0048;DATO44-0048;9999;DATO46-0048;DATO47-0048;9;DATO49-0048;DATO50-0048;DATO51-0048;DATO52-0048;OPERADOR0048;11/09/2026 12:16:54 p.m.;9;;;;;DATO60-0048;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001049;DATO12-0049;999;7000000149;11/09/2026 09:43:57 a.m.;ABONADO0049;4000000149;14/09/2026 09:43:57 a.m.;14/09/2026 10:00:00 a.m.;OPERADOR0049;REPORTE FICTICIO: LOS ROJO;;;;11/09/2026 09:47:42 a.m.;DATO26-0049;PEND;SIN NOVEDAD FICTICIA;DATO29-0049;9;;;ABONADO0049;CALLE FICTICIA 0049 RESIDENCIA DEMO;;DATO36-0049;DATO37-0049;DATO38-0049;DATO39-0049;99;9;9;DATO43-0049;DATO44-0049;999;DATO46-0049;DATO47-0049;9;DATO49-0049;DATO50-0049;DATO51-0049;DATO52-0049;OPERADOR0049;11/09/2026 09:53:43 a.m.;9;;;;;DATO60-0049;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001050;DATO12-0050;999;7000000150;11/09/2026 09:58:36 a.m.;ABONADO0050;4000000150;14/09/2026 09:58:36 a.m.;;OPERADOR0050;SIN NOVEDAD FICTICIA;;;;11/09/2026 02:01:32 p.m.;DATO26-0050;PEND;SIN NOVEDAD FICTICIA;DATO29-0050;9;;;ABONADO0050;CALLE FICTICIA 0050 RESIDENCIA DEMO;;DATO36-0050;DATO37-0050;DATO38-0050;DATO39-0050;9;9;99;DATO43-0050;DATO44-0050;99;DATO46-0050;DATO47-0050;9;DATO49-0050;DATO50-0050;DATO51-0050;DATO52-0050;OPERADOR0050;11/09/2026 05:25:13 p.m.;9;;;;;DATO60-0050;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001051;DATO12-0051;999;7000000151;11/09/2026 11:03:54 a.m.;ABONADO0051;4000000151;14/09/2026 11:03:54 a.m.;;OPERADOR0051;SIN NOVEDAD FICTICIA;;;;11/09/2026 02:00:57 p.m.;DATO26-0051;PEND;SIN NOVEDAD FICTICIA;DATO29-0051;9;SIN NOVEDAD FICTICIA;;ABONADO0051;CALLE FICTICIA 0051 RESIDENCIA DEMO;;DATO36-0051;DATO37-0051;DATO38-0051;DATO39-0051;9;99;99;DATO43-0051;DATO44-0051;9999;DATO46-0051;DATO47-0051;9;DATO49-0051;DATO50-0051;DATO51-0051;;OPERADOR0051;11/09/2026 02:01:34 p.m.;9;;;;;DATO60-0051;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001052;DATO12-0052;999;7000000152;11/09/2026 11:09:19 a.m.;ABONADO0052;4000000152;14/09/2026 11:09:19 a.m.;;OPERADOR0052;SIN NOVEDAD FICTICIA;;;;11/09/2026 11:27:36 a.m.;DATO26-0052;PEND;SIN NOVEDAD FICTICIA;DATO29-0052;9;;;ABONADO0052;CALLE FICTICIA 0052 RESIDENCIA DEMO;17/08/2026;DATO36-0052;DATO37-0052;DATO38-0052;DATO39-0052;99;9;9;DATO43-0052;DATO44-0052;9999;DATO46-0052;DATO47-0052;9;DATO49-0052;DATO50-0052;DATO51-0052;;OPERADOR0052;11/09/2026 12:08:07 p.m.;9;;;;;DATO60-0052;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001053;DATO12-0053;999;7000000153;11/09/2026 11:46:37 a.m.;ABONADO0053;4000000153;14/09/2026 11:46:37 a.m.;;OPERADOR0053;REPORTE FICTICIO: LOS ROJO;;;;11/09/2026 11:55:01 a.m.;DATO26-0053;PEND;SIN NOVEDAD FICTICIA;DATO29-0053;9;;;ABONADO0053;CALLE FICTICIA 0053 RESIDENCIA DEMO;;DATO36-0053;DATO37-0053;DATO38-0053;DATO39-0053;99;99;9;DATO43-0053;DATO44-0053;9999;DATO46-0053;DATO47-0053;9;DATO49-0053;DATO50-0053;DATO51-0053;DATO52-0053;OPERADOR0053;11/09/2026 01:46:37 p.m.;9;;;;;DATO60-0053;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001054;DATO12-0054;999;7000000154;11/09/2026 12:24:42 p.m.;ABONADO0054;4000000154;14/09/2026 12:24:42 p.m.;;OPERADOR0054;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;11/09/2026 02:12:08 p.m.;DATO26-0054;PEND;;DATO29-0054;9;;;ABONADO0054;CALLE FICTICIA 0054 RESIDENCIA DEMO;;DATO36-0054;DATO37-0054;DATO38-0054;DATO39-0054;99;9;9;DATO43-0054;DATO44-0054;999;DATO46-0054;DATO47-0054;9;DATO49-0054;DATO50-0054;DATO51-0054;DATO52-0054;OPERADOR0054;11/09/2026 02:43:04 p.m.;9;;;;;DATO60-0054;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001055;DATO12-0055;999;7000000155;11/09/2026 02:35:20 p.m.;ABONADO0055;4000000155;14/09/2026 02:35:20 p.m.;;OPERADOR0055;REPORTE FICTICIO: LOS ROJO;;;;11/09/2026 02:41:10 p.m.;DATO26-0055;PEND;SIN NOVEDAD FICTICIA;DATO29-0055;9;;;ABONADO0055;CALLE FICTICIA 0055 RESIDENCIA DEMO;;DATO36-0055;DATO37-0055;DATO38-0055;DATO39-0055;9;9;99;DATO43-0055;DATO44-0055;999;DATO46-0055;DATO47-0055;9;DATO49-0055;DATO50-0055;DATO51-0055;DATO52-0055;OPERADOR0055;11/09/2026 03:09:00 p.m.;9;;;;;DATO60-0055;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
